Gene,Corrected P-value,Log2 Fold Change
TIPIN,1.9447e-10,0.9320
PLEKHG1,2.6993e-03,-0.6263
SPARCL1,1.9564e-15,-2.6579
PSORS1C1,7.3728e-06,-1.1503
MMP21,2.4296e-04,-4.7942
TMEM150A,1.1670e-13,-1.1001
CRISP2,8.0105e-07,-11.5000
IL18BP,4.1751e-10,-1.3272
SFTA3,9.7451e-16,-7.3783
CORO1A,2.5312e-07,-1.2565
PADI3,7.0485e-12,10.3915
OR5K2,4.8372e-10,-9.6163
POLR2H,9.7451e-16,1.5696
RP11-1167A19.2,4.2185e-04,-8.8664
KDM4C,9.1972e-09,-0.5958
AES,1.0125e-12,-0.7499
IFI35,4.3074e-08,-0.7730
FGG,1.6389e-10,-5.2358
ERBB3,3.3658e-05,-0.5897
MRPL21,8.3474e-09,0.6773
TMEM189-UBE2V1,2.9422e-03,7.9260
PTGR1,1.9710e-04,0.9907
ALCAM,7.5884e-05,-0.9223
PKD1L1,1.5093e-04,-1.0313
ADAM32,1.1253e-05,1.4153
KIAA0355,2.0115e-13,-1.1004
FSD1L,2.3991e-04,-0.6402
BEGAIN,2.5007e-03,-0.6692
FAM167A,1.5869e-14,-3.1363
DPT,2.6773e-10,-2.1637
CECR1,1.9511e-12,-1.9973
GJD4,4.2656e-03,-4.8677
SLC51A,5.0473e-05,0.7735
ADCYAP1,4.5497e-04,-2.1759
RHEBL1,7.1455e-06,0.7724
ERICH2,2.7590e-15,-5.1458
TENM1,1.1858e-03,-3.0446
FOXD4L1,5.2003e-07,-2.7247
TRMT6,2.2085e-13,1.0096
SIX4,8.4178e-13,2.2768
ZNF706,1.8213e-11,0.6026
C8orf48,1.0572e-07,-1.2173
TREM1,4.8818e-15,-3.3092
OVGP1,5.9358e-08,-1.1417
TMEM59,1.1417e-13,-0.8210
PARVG,7.4734e-14,-2.1129
FITM1,2.8554e-13,-2.0345
MAPK12,4.2305e-06,0.9756
WNT3,3.9685e-06,0.9156
GLS,9.2995e-10,-0.8937
KRTCAP3,4.2305e-06,0.7369
VGF,5.1417e-13,9.5957
SPAG4,9.9329e-06,1.0804
TGM5,5.1178e-12,6.0629
USP4,1.8189e-12,-0.6624
KCNE1L,2.4744e-03,-1.1709
RANBP1,9.7451e-16,1.5776
RP11-458D21.5,2.6993e-03,-1.1128
TDRP,4.4365e-06,-0.9580
BMP8B,7.6285e-04,0.6321
DMRTC1,7.0271e-03,-2.1782
AATK,1.6390e-15,-3.5334
SLITRK2,2.1516e-07,-2.3712
HOPX,1.7987e-15,-3.4246
ZNF692,9.4586e-08,0.9250
APIP,9.6606e-12,-0.8060
ATL2,7.4223e-09,0.6775
MCM10,1.3262e-15,4.2563
CACNB2,1.7760e-12,-1.6350
IL1RL2,1.2199e-09,1.7051
ZNF792,3.9159e-08,-0.9207
C2orf71,3.6815e-10,-10.5281
LAT2,2.6495e-15,-2.1877
AGO4,8.0053e-08,-0.5867
FANCG,9.7451e-16,1.6098
RAB43,3.4934e-08,-0.8551
NEK3,5.9358e-08,-0.7801
RYBP,4.0594e-14,-0.8955
TMEM47,1.0358e-15,-2.3211
IL20RB,1.1768e-14,3.8703
TMEM99,7.0485e-12,1.1056
APBB1IP,8.6019e-14,-2.0364
PCDHA11,2.3544e-07,-3.5646
MYL12A,1.2039e-14,-1.0267
ITPK1,1.3462e-13,-0.9202
GLB1,6.8597e-11,-0.6880
ASPM,9.9797e-16,4.3166
TMEM198,7.0736e-05,0.6771
CASP3,2.3179e-11,0.8162
LRRTM4,1.5783e-05,-3.3079
ASXL3,1.3340e-05,-3.8378
DMGDH,7.3777e-05,-0.7528
APOBEC3B,2.4284e-15,3.0244
TEKT1,6.0104e-11,-12.7047
C19orf73,7.7113e-08,1.0328
CPA4,2.0086e-09,5.2216
PKP2,1.2451e-09,1.8964
LNX1,4.9047e-05,0.8611
ACHE,2.9669e-06,-1.2524
TRAK2,9.9797e-16,-1.3877
SYDE2,1.0343e-11,-1.7266
CCNB1,1.1127e-15,3.4816
AGAP2,1.5000e-08,-1.1812
DEC1,8.1442e-07,3.1721
TMEM75,2.8205e-05,9.1237
LIN9,1.3318e-11,1.1744
MASTL,1.4452e-14,1.2449
HES2,2.2544e-10,2.2042
PRKG2,6.7141e-09,-1.9220
MCF2L2,6.7993e-10,1.4499
PAPSS2,6.1945e-15,-2.6505
PENK,4.7643e-05,-1.8161
TNFRSF4,2.2766e-04,-0.7008
ANO5,1.6390e-15,-3.2129
ZNF831,4.2661e-10,-1.9935
KBTBD11,2.4189e-13,-2.1855
EPM2A,1.5946e-11,-0.8695
TLL2,1.8611e-11,2.8368
MGAT1,7.7151e-10,-0.7673
ARHGEF10,2.0256e-15,-1.8978
LY6G6C,9.0183e-09,3.7975
P4HA3,1.0888e-04,1.1047
REC8,1.7844e-10,-1.3767
TNFRSF10D,5.0047e-08,-1.7071
BLK,9.1222e-03,-0.9924
SESTD1,2.4303e-05,-0.6586
SMPD3,1.0543e-09,-1.6310
PLEKHA6,4.3992e-03,-0.7163
CPEB1,2.2316e-07,-2.0975
NKAPL,9.7451e-16,-2.8656
SENP5,2.8554e-13,1.0360
SNTN,3.4509e-10,-7.9532
LIMS2,9.7451e-16,-3.2980
IDI1,1.2592e-08,-0.7553
GJC3,1.7018e-05,-2.1247
PDSS1,7.2452e-10,0.8405
TNN,6.3468e-04,-1.4076
DLX3,1.8444e-04,0.8131
NPY1R,7.8887e-12,-3.7296
TMEM63A,9.6882e-10,-0.8250
GRK7,1.6746e-10,5.9465
PLA2G12B,1.7577e-15,-16.1688
SLC6A8,9.8352e-16,3.7829
YIPF4,1.2444e-11,0.6816
FAM207A,1.6420e-07,0.6511
BRCA2,1.7464e-10,1.4082
ARHGAP11A,1.2002e-15,2.7887
GOLGA8I,9.3220e-11,-1.3398
ACADSB,1.7345e-07,-0.6417
AHR,1.2946e-05,-0.7251
FRMD5,1.2852e-03,1.1679
LPAR3,2.7783e-08,1.6239
FGF12,3.7317e-07,1.7979
CTU1,5.7734e-07,0.6717
AKAP9,4.0760e-07,-0.6010
H1FNT,5.1135e-07,-8.9190
SYPL2,8.3321e-15,-2.3877
C1QA,5.2360e-14,-2.4923
PRPS2,7.2981e-14,1.0911
EPN3,3.5708e-15,3.7752
CYP4Z1,1.3684e-07,-7.3642
BPIFB1,3.2142e-06,-4.3325
UGT1A1,3.2671e-09,7.4747
RADIL,1.6670e-13,-2.4675
GSG1,4.7691e-07,-6.7827
PDGFB,8.8240e-13,-1.5846
SMC4,4.0603e-13,1.3846
C1QTNF6,3.1871e-14,2.1398
CPO,6.5715e-11,-9.0786
SNX22,7.4087e-15,-3.0331
TMEM37,1.8315e-05,-0.8952
PLEKHG7,2.6101e-02,-2.6292
AQP10,3.2092e-02,-1.7982
PGF,7.4861e-11,2.0948
PPP1R9A,6.6574e-13,-3.0959
SYNPO,9.7451e-16,-2.2058
HNMT,3.8959e-15,-1.7195
LTBR,9.2995e-10,0.5894
SLC2A3,1.0171e-06,-1.2571
RP11-383H13.1,1.9714e-02,0.6061
PTTG1,1.2619e-15,2.7935
GNMT,4.2460e-15,-2.6526
IGF2BP1,9.7372e-11,8.4110
C11orf83,2.6501e-11,0.8775
CYP4F3,2.9490e-04,2.2223
EIF4EBP3,3.4509e-10,-1.1043
NEK2,1.0040e-15,4.5050
PGK1,2.2194e-11,0.8439
SLC5A12,1.1670e-13,7.4535
TMEM194A,7.6566e-14,1.2880
ITGB2,4.2207e-11,-1.8446
CXCL12,2.1826e-14,-2.2461
MMRN1,9.7451e-16,-3.9278
STX8,1.7036e-11,-0.6096
HID1,2.5085e-10,-1.3007
CADPS,2.1361e-09,-1.4390
EDARADD,6.5030e-13,2.3971
CHRDL2,3.2142e-06,-1.5936
SMO,1.1401e-12,2.0354
HS6ST2,5.2962e-08,2.1785
CADM4,3.7859e-13,1.4482
PKP1,2.2340e-12,5.1043
PVRL4,2.0354e-14,2.6181
MLLT6,1.0886e-06,-0.6457
ARRB1,9.7451e-16,-3.1917
LIX1L,2.7688e-11,-1.1210
CPN2,7.5400e-04,6.9251
C3orf67,1.4789e-13,2.6914
NFAM1,1.8189e-12,-2.1229
FAM187A,4.8873e-06,-1.3224
SNRPD1,1.1208e-14,1.3435
FAM72B,1.5143e-13,1.5686
ANKS1A,4.8056e-13,-1.1102
CCDC88A,5.2918e-06,-0.6291
MPP4,4.3729e-05,4.9815
NMD3,6.4015e-08,0.6606
CRB3,2.9097e-07,-0.6918
TCTEX1D4,2.8732e-12,-4.0743
GLRA3,3.5176e-05,2.2871
ROM1,5.1178e-12,-0.9604
HSF5,1.5106e-12,-8.7471
C2CD2L,1.0125e-12,-0.9011
LILRB2,1.9849e-11,-1.8012
CABP7,6.1195e-04,1.2682
GNAQ,1.3021e-15,-1.4197
PDZD4,4.7691e-07,-1.5271
TBC1D32,2.1137e-07,0.7708
TOR1AIP1,3.5361e-12,-0.6722
MRC2,3.3182e-05,-0.8535
IFNAR2,3.4694e-09,-0.6340
UTS2B,2.9110e-04,-1.8005
ATP5J2-PTCD1,3.8653e-14,1.2562
C9orf72,2.9097e-07,-0.9619
SFRP5,6.5979e-12,-7.1251
VMA21,8.7798e-08,0.5903
MAPK8IP2,3.0683e-07,1.2923
ASNS,1.8594e-14,1.7022
ART5,3.2612e-02,-0.6156
DCAF17,1.4114e-09,0.6593
RRP1,7.8305e-13,0.8333
PDZD2,1.1144e-13,-2.8428
ABCB1,3.5300e-13,-2.3788
SLAMF9,8.1482e-08,2.4063
AGBL4,1.6221e-02,-2.4260
CBLN2,3.6225e-05,6.5692
DOK1,1.7063e-13,-1.3469
BPI,8.2646e-05,-2.5180
AK1,9.7451e-16,-2.5413
GPI,2.1347e-15,1.4571
RAB17,1.2002e-15,-2.9723
LCA5L,3.6656e-07,-1.0958
TSPAN11,1.1080e-05,-1.1363
TAPBPL,2.0472e-08,-0.7488
TCEAL1,1.8225e-14,-1.1625
GLIPR1,3.2142e-06,-0.8810
TRIM72,1.3621e-03,6.0315
IGLON5,4.6727e-12,4.2526
GPX7,8.5017e-04,0.6647
XG,1.2112e-08,2.4840
FLI1,1.5073e-15,-2.5864
MROH7-TTC4,6.8203e-03,-1.6495
ABCC1,8.4311e-12,1.2703
HIST1H2BL,1.1100e-10,9.5971
FAM177A1,2.1826e-14,-0.7531
FUT5,8.4469e-03,-3.5247
GNG5,3.1565e-12,-0.5948
ATXN7,1.1937e-12,-0.9686
SELL,1.5335e-09,-1.9018
ACP5,5.1157e-14,-2.3477
MILR1,9.0183e-09,-1.2719
ERG,9.7451e-16,-2.7827
PSMG3,2.0830e-14,1.2606
PCDHGA1,3.7340e-02,0.7231
CAMP,8.0328e-14,-6.3870
DLG4,1.5281e-07,-0.8376
TSPYL2,3.7859e-13,-1.1802
ODF3B,1.0099e-09,-1.2544
RAB37,1.4817e-15,-2.7278
EBF1,8.8240e-13,-1.7113
ASPA,9.8352e-16,-4.2047
ARHGEF35,4.1895e-05,1.3807
PLEKHH1,4.6055e-04,0.7593
AMDHD1,4.1430e-02,-0.8914
ZNF749,1.3007e-04,0.8211
TMEM43,2.2194e-11,-0.6275
BAG4,1.0572e-07,0.7175
MSI1,1.7984e-07,2.4260
PAG1,1.7000e-14,-2.0072
LSM12,6.3379e-14,0.7940
JAM3,3.6823e-14,-1.7307
TMEM69,1.6247e-14,0.9273
RAPGEF6,6.9418e-15,-1.0197
ASAP2,4.7298e-06,0.5985
CFH,1.1427e-05,-1.0921
TMEM145,1.0564e-08,1.2104
MAD2L2,2.4189e-11,0.9930
SYNGR3,8.8779e-07,1.3996
AL359878.1,2.2922e-03,-5.6036
FLT4,1.8927e-15,-2.4391
KIF1C,9.7451e-16,-1.7646
PDZD11,1.5684e-10,0.6314
TRIT1,2.6802e-12,0.8103
C9orf40,3.2054e-09,0.8664
FAM101A,3.0683e-07,1.6796
C1QTNF1,1.0163e-03,-0.6452
ROCK1,3.7612e-10,-0.5875
CRTAP,1.2199e-09,-0.6740
ABCA7,6.6354e-07,-0.9280
TIMMDC1,6.0124e-12,0.6947
KLKB1,2.7182e-13,-3.8559
CD97,1.0128e-15,-2.6815
PALM,2.2194e-11,-1.7362
SOGA3,5.0081e-14,-3.7582
SLFN12,5.4968e-05,-0.6621
ZNF214,3.4155e-07,-1.2307
HIST1H2BE,8.7279e-07,6.8727
MKRN3,2.0498e-04,4.6213
RENBP,5.1412e-11,-1.5646
TMEM106B,4.1751e-10,0.7912
VAT1L,3.3821e-03,-1.5909
PRIM2,2.7590e-15,1.4060
RYR2,3.0107e-12,-2.2221
PTGDS,3.3437e-14,-3.4154
TUBA3E,2.0065e-02,5.5147
SESN1,9.1320e-15,-1.6261
SYT1,1.2895e-06,1.3478
GNRHR,2.9730e-03,3.7888
SLC39A14,3.8424e-06,0.9039
SNX18,4.0613e-12,-0.6762
SUSD2,9.7451e-16,-5.2383
SECISBP2L,9.9797e-16,-2.1712
CFD,1.9873e-15,-3.5124
SPATA5L1,3.3124e-11,0.7855
CKAP5,3.8246e-15,1.1771
RAMP3,1.6666e-15,-3.7544
PKIA,3.6811e-03,-0.6990
SOX13,3.4657e-05,-0.6284
TPH1,1.3468e-03,-1.6843
GPR64,2.5632e-10,-2.1704
EYA2,1.1587e-07,1.9826
PPAT,2.1677e-15,1.9666
CCT7,1.0011e-14,0.8466
UNC13B,3.8959e-15,-2.1747
FSIP1,1.7268e-05,-0.8348
COX6B2,5.3912e-13,5.8295
FBXL6,4.3074e-08,0.6985
FAM105A,9.7451e-16,-3.0621
CDC6,1.0889e-15,4.1014
RGS5,4.1525e-14,-2.0336
FAM106A,3.2092e-02,-2.7362
BST2,6.7821e-05,-1.1515
EPB41L1,2.0019e-07,-0.6797
OSM,2.9422e-03,-0.9743
CENPO,1.7577e-15,1.7432
VILL,5.5094e-13,-1.5249
SNRPE,3.9821e-15,1.1536
PLEKHG4,6.9198e-06,1.0346
SERPIND1,3.1749e-10,-4.1230
SLIT3,6.3153e-15,-3.2655
MCL1,3.4557e-12,-1.1150
APOA1BP,2.7911e-10,0.7411
ARMC9,2.1826e-14,-1.5786
TCF4,8.0105e-07,-0.8406
ABRACL,8.3843e-10,0.9639
KB-1980E6.3,1.5633e-03,3.4948
MUC1,8.7045e-15,-3.0400
SRSF12,7.5543e-10,1.8903
