Gene,Corrected P-value,Log2 Fold Change
RBP4,1.9804e-09,-4.4795
TRMT1,1.0949e-09,0.6039
STAC3,1.9452e-13,-1.7082
N6AMT2,5.0878e-13,-0.9170
IGSF3,3.8969e-10,1.1995
HN1L,7.8227e-13,1.1575
TRPC4,2.5366e-03,-0.8589
CLDN2,3.8067e-08,-2.3394
KPNA1,1.4748e-13,0.9034
EPOR,3.1763e-13,-1.5522
PTBP3,5.9527e-08,0.5958
MRPS30,5.7021e-14,1.0086
RRAS,5.7021e-14,-1.7969
PODXL2,1.7262e-12,2.1513
ZNF519,1.0127e-05,0.7816
SKA3,4.2014e-14,3.7910
EGFL7,3.0936e-14,-2.3276
KLHDC9,7.5685e-03,-1.1144
HLA-DRB1,4.2014e-14,-2.5558
PLAC8L1,4.3171e-02,1.3705
UCHL5,8.3894e-14,0.7897
FERMT2,3.0936e-14,-2.2088
CACNA1F,2.0635e-04,-1.5765
SLC6A4,3.0936e-14,-7.5475
CCDC96,4.8945e-09,-1.4974
BTLA,1.5205e-03,-1.7409
HAS2,8.4969e-03,-0.9571
NUDT21,6.8266e-12,0.7718
XBP1,5.7578e-06,-0.7640
TMEM232,3.1428e-08,-3.2770
NEB,5.1411e-08,1.4394
RNF130,1.1014e-13,-1.0903
C11orf21,3.0936e-14,-3.1273
C6orf165,3.0277e-08,-5.4929
IMPACT,4.6938e-07,0.5944
CADM3,1.3325e-07,-3.0353
EPB42,3.0936e-14,-2.6892
LACTB,6.0155e-07,-0.6669
GSAP,1.4748e-13,-1.7531
HAPLN4,2.2654e-05,1.9728
RNF122,1.6300e-09,-1.3057
PLSCR4,3.0936e-14,-1.9954
MESP1,8.6999e-03,0.6904
TTC27,3.8808e-08,0.5888
SLC14A1,1.3546e-08,-3.8243
NCAPG2,3.0936e-14,2.1183
CCDC34,4.2014e-14,2.2572
TTN,1.1665e-08,-2.2111
HCK,1.9804e-09,-1.5847
ARMCX3,3.0637e-07,-0.6074
RIN1,6.0861e-06,0.7543
NETO2,1.8198e-06,1.2319
PRPF40B,6.2672e-11,0.8081
AMY1C,8.9737e-10,-7.0432
UBR1,1.8252e-10,-0.7194
hsa-mir-1199,4.0130e-07,-1.4237
CBX3,1.1014e-13,0.9183
KRT6C,4.5849e-09,12.2212
SCUBE3,2.4465e-06,1.4390
KAT2A,1.9452e-13,1.2413
TFAP2C,1.0746e-11,1.7946
FHIT,2.6296e-09,-1.1940
CENPL,3.0936e-14,1.8512
PVALB,3.1220e-04,-2.6839
FAM198B,1.6678e-04,-0.9251
TSPAN5,1.5850e-05,0.7087
NOVA2,3.0936e-14,-3.0067
FYCO1,3.1763e-13,-1.4799
SLC14A2,4.8775e-07,-2.3706
PCDHGB3,2.5950e-06,-2.0733
FOSB,9.9348e-10,-4.5956
SHROOM3,1.9452e-13,-2.3257
RAE1,4.2014e-14,1.2016
GNPTG,4.0519e-13,-0.6651
HDX,4.1274e-04,-0.9817
RSPO2,5.7021e-14,-7.4263
C15orf53,2.6115e-02,-3.9253
MEGF6,5.2041e-07,-1.2010
QSOX2,4.8865e-11,0.7994
ECT2L,1.1568e-07,-3.3195
MED12L,1.7336e-02,0.7257
AMT,2.2702e-10,-1.3516
LYG1,1.6678e-04,0.7454
ZNF382,3.8098e-04,-1.0212
DPH2,1.9452e-13,0.9491
CCR8,6.9278e-03,1.2357
DMXL1,4.8140e-10,-0.7655
NPNT,4.2014e-14,-2.4788
WDR88,1.5974e-04,1.9296
CRIM1,1.9850e-07,-1.2297
SERPINB4,4.4254e-08,9.0612
VBP1,4.4935e-09,0.6254
GDPD5,1.0046e-07,-1.2047
FERMT3,1.1014e-13,-1.8624
RPA3,4.8865e-11,0.7710
DOK6,6.9278e-03,-1.1382
CRYZ,4.8945e-09,-0.8916
SPG20,2.0313e-08,-0.9918
MRPS12,5.6667e-09,1.2998
TRA2B,1.2955e-10,0.6064
MRE11A,8.0370e-11,0.8580
WWC3,1.7262e-12,-1.4630
ALDH1L2,3.2796e-07,0.8912
YWHAG,5.8059e-12,0.8344
GADD45B,4.8865e-11,-2.7641
TMEM14A,7.9695e-12,1.2349
FLG,1.3676e-03,-0.8635
RP11-514P8.7,4.1153e-09,-3.6992
RNASEK,2.0335e-10,-0.7769
BDNF,5.2041e-07,-2.3140
OPRK1,7.2314e-03,-2.4398
CSDC2,7.1148e-11,-1.9049
C4B,1.0198e-10,-2.2599
DOLPP1,1.8252e-10,0.8487
BAI2,1.3368e-09,1.6717
ACO1,3.2703e-06,-0.7196
B3GNT4,1.9102e-11,1.9058
RAB41,3.4468e-09,-2.9221
KCNT1,1.1764e-04,-4.6941
DNAJA3,5.3500e-10,0.5974
C12orf50,4.9509e-02,3.3224
RGPD5,3.3086e-11,-0.7435
NLRP6,3.7742e-04,-0.7298
ARSF,3.4890e-02,-5.4026
CYP2U1,8.3894e-14,-1.5635
GPR1,9.8969e-06,1.0559
KDM4D,2.3075e-06,0.7236
GPR37L1,6.3344e-03,0.8944
P2RX7,1.4416e-11,-1.7761
ATP1A2,1.7262e-12,-4.7951
ASAH1,4.2014e-14,-2.0064
GPR17,3.0936e-14,-5.1759
CTHRC1,1.4314e-12,3.2250
ICAM2,3.0936e-14,-2.8096
HLA-G,8.2284e-05,-1.3126
TJP2,4.8865e-11,-0.9659
VEGFC,1.7485e-03,-1.0275
BEX4,5.4418e-06,-0.9551
GNG11,3.0936e-14,-3.3370
CPSF4,1.4748e-13,0.8968
ADH6,4.5269e-03,-1.9343
NCR3,1.1519e-10,-2.7448
DCC,4.6696e-03,-3.4727
C10orf35,4.1153e-09,0.6973
C15orf56,4.8364e-02,-1.2683
RP11-295P9.3,1.7575e-05,-0.6487
EIF4G1,4.2014e-14,1.0388
GPBAR1,4.2014e-14,-3.1375
CBR3,1.8762e-08,1.3956
PDCD5,3.5104e-12,1.0796
FAM221A,2.3486e-02,-0.6758
HOXA2,1.6130e-06,-1.3496
RP11-196G11.1,2.2225e-05,0.7526
MCF2,3.1874e-03,1.8230
FAM182B,2.5279e-02,-0.6642
SEC61A2,4.9367e-08,0.9407
MS4A3,3.5603e-06,-11.2651
ZSWIM5,6.2586e-05,-1.0502
HPSE2,2.0332e-07,-5.4423
HSD17B2,2.7887e-02,-1.6126
MAT1A,2.2953e-03,0.7523
TMEM184A,6.9234e-09,1.7008
UBAP1L,1.1873e-06,-0.7496
ZNF487,1.0198e-10,-1.1252
PROM2,1.4314e-12,2.5013
CLEC4E,3.0936e-14,-2.4778
LTC4S,3.0936e-14,-2.7477
BTN2A1,1.2441e-11,-0.8393
PIP,6.3359e-05,-7.2937
C16orf98,6.7434e-07,1.4908
DARS2,3.0936e-14,1.2369
ERAL1,1.2441e-11,0.7007
FCHO2,3.0936e-14,-1.5266
LENEP,2.4311e-05,8.9615
IDNK,1.1014e-13,-1.4255
RNASEK-C17orf49,6.0861e-06,-0.6335
RBM24,1.5751e-03,-1.4320
HCST,3.8196e-09,-2.1532
CLCN4,9.8761e-09,-1.8406
NKAIN1,8.3894e-14,9.6398
POLDIP2,1.3637e-08,0.6614
PDLIM1,8.0850e-08,-0.8032
PPAPDC1A,3.0936e-14,3.9365
ANAPC7,1.0949e-09,0.7389
DNALI1,2.0335e-10,-3.0920
DPH6,4.3170e-08,0.7432
YWHAZ,3.0936e-14,1.0857
FAT4,7.8227e-13,-2.5039
LMX1B,1.0765e-07,2.2086
ROR1,3.0936e-14,-3.3942
TUBB1,4.2014e-14,-4.7845
C1orf167,3.0936e-14,-4.6613
GRM4,3.4996e-10,7.0998
TCTE1,4.6938e-07,-5.7745
ITGB4,6.3219e-13,2.6514
KCMF1,3.1763e-13,0.9191
IPO9,1.7236e-08,0.6508
LYPD1,1.4779e-09,2.1067
LIMK1,1.3546e-08,0.6358
AC016722.1,2.3791e-04,-7.1887
FLNA,4.8386e-04,-0.6225
RNF126,2.9482e-12,0.6482
IL26,3.6641e-02,-3.5741
ADORA2A,3.3086e-11,-1.7635
PLAGL1,4.8002e-09,-1.2457
NDUFAF3,4.3060e-11,-0.6838
BHLHE22,6.0981e-04,-0.8357
OTUB2,1.4314e-12,1.2207
LRP8,1.1519e-10,1.5483
MLLT4,8.9737e-10,-1.0570
XAGE1E,1.9711e-02,-9.3027
MYO7B,3.0936e-14,-3.2626
RP11-182J1.16,1.6282e-03,1.6715
TTBK1,9.0022e-05,0.6566
CELF2,3.0936e-14,-2.7457
RASIP1,9.2357e-12,-2.4115
WDR53,3.0936e-14,1.3307
TIPIN,4.3060e-11,0.9320
PLEKHG1,7.0934e-04,-0.6263
SPARCL1,8.3894e-14,-2.6579
PSORS1C1,1.2904e-05,-1.1503
MMP21,3.0000e-04,-4.7942
TMEM150A,9.2357e-12,-1.1001
CRISP2,3.2530e-05,-11.5000
IL18BP,4.4935e-09,-1.3272
SFTA3,3.0936e-14,-7.3783
CORO1A,1.6780e-06,-1.2565
PADI3,5.9882e-09,10.3915
OR5K2,8.8723e-08,-9.6163
POLR2H,3.0936e-14,1.5696
RP11-1167A19.2,5.0372e-04,-8.8664
KDM4C,3.2796e-07,-0.5958
AES,3.1763e-13,-0.7499
IFI35,1.0765e-07,-0.7730
FGG,6.9234e-09,-5.2358
ERBB3,1.4013e-04,-0.5897
MRPL21,5.0694e-08,0.6773
TMEM189-UBE2V1,1.0774e-03,7.9260
PTGR1,3.8794e-06,0.9907
ALCAM,1.5205e-03,-0.9223
PKD1L1,5.4390e-03,-1.0313
ADAM32,9.2644e-07,1.4153
KIAA0355,1.3060e-08,-1.1004
FSD1L,1.6890e-03,-0.6402
BEGAIN,4.4267e-02,-0.6692
FAM167A,1.0746e-11,-3.1363
DPT,3.4996e-10,-2.1637
CECR1,4.3060e-11,-1.9973
GJD4,2.1510e-02,-4.8677
SLC51A,5.9269e-07,0.7735
ADCYAP1,1.0186e-04,-2.1759
RHEBL1,4.2797e-07,0.7724
ERICH2,3.0936e-14,-5.1458
TENM1,2.7215e-02,-3.0446
FOXD4L1,8.1491e-07,-2.7247
TRMT6,7.0824e-09,1.0096
SIX4,1.6672e-11,2.2768
ZNF706,5.3500e-10,0.6026
C8orf48,6.4294e-06,-1.2173
TREM1,1.7262e-12,-3.3092
OVGP1,2.7990e-08,-1.1417
TMEM59,3.6228e-09,-0.8210
PARVG,1.4748e-13,-2.1129
FITM1,5.5493e-11,-2.0345
MAPK12,1.0506e-06,0.9756
WNT3,1.3325e-07,0.9156
GLS,1.1470e-08,-0.8937
KRTCAP3,1.1873e-06,0.7369
VGF,1.0746e-11,9.5957
SPAG4,7.9978e-06,1.0804
TGM5,5.5493e-11,6.0629
USP4,4.3060e-11,-0.6624
KCNE1L,2.5366e-03,-1.1709
RANBP1,3.0936e-14,1.5776
RP11-458D21.5,6.5458e-03,-1.1128
TDRP,1.6690e-05,-0.9580
BMP8B,7.1250e-05,0.6321
DMRTC1,3.8643e-03,-2.1782
AATK,1.4748e-13,-3.5334
SLITRK2,8.8633e-04,-2.3712
HOPX,4.0519e-13,-3.4246
ZNF692,2.8252e-10,0.9250
APIP,1.0746e-11,-0.8060
ATL2,1.9804e-09,0.6775
MCM10,4.2014e-14,4.2563
CACNB2,1.8861e-07,-1.6350
IL1RL2,6.6050e-10,1.7051
ZNF792,8.0850e-08,-0.9207
C2orf71,8.9737e-10,-10.5281
LAT2,4.2014e-14,-2.1877
AGO4,5.2041e-07,-0.5867
FANCG,3.0936e-14,1.6098
RAB43,2.7990e-08,-0.8551
NEK3,7.6561e-07,-0.7801
RYBP,1.4314e-12,-0.8955
TMEM47,3.0936e-14,-2.3211
IL20RB,4.2014e-14,3.8703
TMEM99,1.7262e-12,1.1056
APBB1IP,4.0519e-13,-2.0364
PCDHA11,4.7191e-05,-3.5646
MYL12A,5.8059e-12,-1.0267
ITPK1,2.4798e-12,-0.9202
GLB1,3.8969e-10,-0.6880
ASPM,4.2014e-14,4.3166
TMEM198,3.7057e-05,0.6771
CASP3,1.6261e-08,0.8162
LRRTM4,2.5680e-03,-3.3079
ASXL3,3.7186e-03,-3.8378
DMGDH,1.7401e-04,-0.7528
APOBEC3B,5.7021e-14,3.0244
TEKT1,3.4468e-09,-12.7047
C19orf73,5.1411e-08,1.0328
CPA4,8.6976e-08,5.2216
PKP2,8.0370e-11,1.8964
LNX1,5.7578e-06,0.8611
ACHE,3.5177e-04,-1.2524
EPHA7,2.2953e-03,-1.1223
TRAK2,3.0936e-14,-1.3877
SYDE2,1.6303e-10,-1.7266
CCNB1,3.0936e-14,3.4816
AGAP2,4.8945e-09,-1.1812
DEC1,1.0046e-07,3.1721
TMEM75,3.2123e-05,9.1237
LIN9,3.4353e-09,1.1744
MASTL,1.1014e-13,1.2449
HES2,2.2702e-10,2.2042
PRKG2,5.7578e-06,-1.9220
MCF2L2,4.1153e-09,1.4499
PAPSS2,1.4748e-13,-2.6505
PENK,1.6036e-02,-1.8161
TNFRSF4,2.7115e-03,-0.7008
ANO5,3.0936e-14,-3.2129
ZNF831,1.0765e-07,-1.9935
KBTBD11,2.3841e-08,-2.1855
EPM2A,1.8762e-08,-0.8695
TLL2,1.3368e-09,2.8368
MGAT1,4.8945e-09,-0.7673
ARHGEF10,2.5219e-13,-1.8978
LY6G6C,9.0527e-11,3.7975
P4HA3,5.1904e-05,1.1047
REC8,5.4418e-06,-1.3767
TNFRSF10D,3.2703e-06,-1.7071
SESTD1,9.4137e-05,-0.6586
SMPD3,6.7434e-07,-1.6310
CPEB1,2.5436e-04,-2.0975
NKAPL,3.2341e-09,-2.8656
SENP5,7.8227e-13,1.0360
SNTN,3.7669e-09,-7.9532
LIMS2,3.0936e-14,-3.2980
IDI1,1.3765e-07,-0.7553
GJC3,4.2476e-03,-2.1247
PDSS1,5.9463e-10,0.8405
TNN,1.0657e-02,-1.4076
DLX3,2.0491e-06,0.8131
NPY1R,1.0765e-07,-3.7296
TMEM63A,3.5059e-07,-0.8250
GRK7,2.5267e-08,5.9465
PLA2G12B,4.2014e-14,-16.1688
SLC6A8,3.0936e-14,3.7829
YIPF4,4.0519e-13,0.6816
FAM207A,1.4779e-09,0.6511
BRCA2,2.8923e-09,1.4082
ARHGAP11A,4.2014e-14,2.7887
GOLGA8I,1.7262e-12,-1.3398
ACADSB,9.3775e-06,-0.6417
AHR,1.5850e-05,-0.7251
FRMD5,4.8386e-04,1.1679
LPAR3,3.7669e-09,1.6239
FGF12,1.4701e-08,1.7979
CTU1,4.2797e-07,0.6717
AKAP9,2.7522e-06,-0.6010
H1FNT,9.5741e-06,-8.9190
SYPL2,5.8059e-12,-2.3877
C1QA,1.1720e-12,-2.4923
PRPS2,1.4748e-13,1.0911
EPN3,4.0572e-09,3.7752
CYP4Z1,5.1322e-04,-7.3642
BPIFB1,3.5307e-05,-4.3325
UGT1A1,1.9177e-08,7.4747
RADIL,9.2357e-12,-2.4675
GSG1,4.9470e-05,-6.7827
PDGFB,2.0708e-12,-1.5846
SMC4,2.5219e-13,1.3846
C1QTNF6,2.5219e-13,2.1398
CPO,1.0949e-09,-9.0786
SNX22,4.2014e-14,-3.0331
TMEM37,5.9741e-05,-0.8952
PGF,4.0995e-08,2.0948
PPP1R9A,6.3487e-09,-3.0959
SYNPO,3.0936e-14,-2.2058
HNMT,5.7021e-14,-1.7195
LTBR,4.8140e-10,0.5894
SLC2A3,1.3590e-05,-1.2571
RP11-383H13.1,2.7115e-03,0.6061
PTTG1,3.0936e-14,2.7935
GNMT,3.0936e-14,-2.6526
IGF2BP1,1.6303e-10,8.4110
C11orf83,5.3500e-10,0.8775
CYP4F3,3.7057e-05,2.2223
EIF4EBP3,4.8140e-10,-1.1043
NEK2,4.2014e-14,4.5050
PGK1,6.2672e-11,0.8439
SLC5A12,1.1720e-12,7.4535
TMEM194A,1.9452e-13,1.2880
ITGB2,5.5493e-11,-1.8446
CXCL12,1.9452e-13,-2.2461
MMRN1,3.0936e-14,-3.9278
STX8,2.3930e-09,-0.6096
AL136531.1,9.0465e-03,1.5275
HID1,1.7293e-08,-1.3007
CADPS,2.8611e-07,-1.4390
EDARADD,6.3219e-13,2.3971
CHRDL2,2.3395e-04,-1.5936
SMO,3.5104e-12,2.0354
HS6ST2,5.3388e-09,2.1785
CADM4,3.1763e-13,1.4482
PKP1,1.4314e-12,5.1043
PVRL4,2.5219e-13,2.6181
LRRIQ4,1.6580e-02,1.0868
MLLT6,2.0483e-05,-0.6457
ARRB1,3.0936e-14,-3.1917
LIX1L,3.8067e-08,-1.1210
CPN2,1.8439e-04,6.9251
C3orf67,1.7262e-12,2.6914
NFAM1,2.9482e-12,-2.1229
FAM187A,2.3348e-07,-1.3224
SNRPD1,3.8196e-09,1.3435
DNAJB7,4.3261e-02,1.5035
FAM72B,2.5219e-13,1.5686
ANKS1A,1.1776e-07,-1.1102
CCDC88A,1.3590e-05,-0.6291
MPP4,1.3407e-04,4.9815
NMD3,2.3930e-09,0.6606
CRB3,3.6654e-06,-0.6918
TCTEX1D4,1.9102e-11,-4.0743
GLRA3,4.9888e-06,2.2871
ROM1,2.2008e-11,-0.9604
HSF5,6.2672e-11,-8.7471
C2CD2L,6.7035e-09,-0.9011
LILRB2,1.4416e-11,-1.8012
CABP7,1.2641e-04,1.2682
GNAQ,3.1763e-13,-1.4197
PDZD4,1.1257e-04,-1.5271
TBC1D32,3.5280e-08,0.7708
TOR1AIP1,2.2008e-11,-0.6722
MRC2,4.7191e-05,-0.8535
IFNAR2,7.4209e-06,-0.6340
UTS2B,1.4173e-03,-1.8005
ATP5J2-PTCD1,5.8059e-12,1.2562
C9orf72,3.8794e-06,-0.9619
SFRP5,4.8865e-11,-7.1251
VMA21,2.6891e-07,0.5903
MAPK8IP2,1.3546e-08,1.2923
ASNS,7.8227e-13,1.7022
DCAF17,1.6672e-11,0.6593
RRP1,1.1519e-10,0.8333
PDZD2,1.6300e-09,-2.8428
ABCB1,1.0949e-09,-2.3788
SLAMF9,7.5325e-09,2.4063
AGBL4,1.4404e-02,-2.4260
CBLN2,1.4644e-04,6.5692
DOK1,4.0519e-13,-1.3469
BPI,5.6492e-04,-2.5180
AK1,3.0936e-14,-2.5413
GPI,3.0936e-14,1.4571
RAB17,3.0936e-14,-2.9723
LCA5L,7.5027e-08,-1.0958
TSPAN11,2.8778e-04,-1.1363
TAPBPL,3.5059e-07,-0.7488
TCEAL1,9.5775e-13,-1.1625
GLIPR1,9.3775e-06,-0.8810
TRIM72,3.3240e-04,6.0315
IGLON5,3.1763e-13,4.2526
GPX7,1.2289e-04,0.6647
XG,1.8252e-10,2.4840
FLI1,1.1014e-13,-2.5864
MROH7-TTC4,5.6104e-03,-1.6495
ABCC1,3.3086e-11,1.2703
HIST1H2BL,2.2695e-08,9.5971
FAM177A1,1.9452e-13,-0.7531
FUT5,1.6894e-02,-3.5247
GNG5,9.9348e-10,-0.5948
ATXN7,9.0527e-11,-0.9686
SELL,4.1153e-09,-1.9018
ACP5,9.5775e-13,-2.3477
MILR1,3.4468e-09,-1.2719
ERG,3.0936e-14,-2.7827
PSMG3,7.8227e-13,1.2606
PCDHGA1,3.2910e-03,0.7231
CAMP,2.0313e-08,-6.3870
DLG4,2.2006e-08,-0.8376
TSPYL2,2.5219e-13,-1.1802
ODF3B,3.3086e-11,-1.2544
RAB37,3.0936e-14,-2.7278
EBF1,3.8969e-10,-1.7113
ASPA,3.0936e-14,-4.2047
ARHGEF35,1.0046e-07,1.3807
PLEKHH1,5.0266e-04,0.7593
ZNF749,5.3388e-09,0.8211
TMEM43,4.9436e-12,-0.6275
BAG4,3.2672e-08,0.7175
MSI1,6.6050e-10,2.4260
PAG1,1.2955e-10,-2.0072
LSM12,1.9452e-13,0.7940
JAM3,1.2441e-11,-1.7307
TMEM69,3.6228e-09,0.9273
RAPGEF6,2.5219e-13,-1.0197
ASAP2,8.6975e-07,0.5985
CFH,9.0022e-05,-1.0921
TMEM145,7.5325e-09,1.2104
MAD2L2,5.8059e-12,0.9930
SYNGR3,1.9326e-06,1.3996
AL359878.1,1.4163e-02,-5.6036
FLT4,3.0936e-14,-2.4391
KIF1C,3.0936e-14,-1.7646
PDZD11,4.8945e-09,0.6314
TRIT1,2.4798e-12,0.8103
C9orf40,2.2588e-08,0.8664
FAM101A,1.1873e-06,1.6796
C1QTNF1,1.0657e-02,-0.6452
ROCK1,6.2741e-08,-0.5875
CRTAP,2.8969e-11,-0.6740
ABCA7,5.2041e-07,-0.9280
TIMMDC1,2.0335e-10,0.6947
KLKB1,1.4314e-12,-3.8559
CD97,3.0936e-14,-2.6815
PALM,2.8923e-09,-1.7362
SOGA3,7.9695e-12,-3.7582
SLFN12,1.1257e-04,-0.6621
ZNF214,3.3634e-05,-1.2307
HIST1H2BE,3.2703e-06,6.8727
MKRN3,2.8530e-05,4.6213
RENBP,6.8266e-12,-1.5646
TMEM106B,2.8131e-08,0.7912
VAT1L,1.1594e-02,-1.5909
PRIM2,2.5219e-13,1.4060
RYR2,5.9463e-10,-2.2221
PTGDS,5.3500e-10,-3.4154
TUBA3E,7.9079e-04,5.5147
SESN1,1.4748e-13,-1.6261
SYT1,4.4254e-08,1.3478
GNRHR,2.7902e-04,3.7888
SLC39A14,7.1712e-06,0.9039
SNX18,2.1419e-08,-0.6762
SUSD2,3.0936e-14,-5.2383
SECISBP2L,3.0936e-14,-2.1712
CFD,3.0936e-14,-3.5124
SPATA5L1,1.9102e-11,0.7855
CKAP5,8.3894e-14,1.1771
RAMP3,3.0936e-14,-3.7544
SOX13,7.9301e-04,-0.6284
TPH1,3.3981e-03,-1.6843
GPR64,2.4465e-06,-2.1704
EYA2,1.2464e-08,1.9826
PPAT,4.2014e-14,1.9666
CCT7,1.1014e-13,0.8466
UNC13B,4.2014e-14,-2.1747
FSIP1,3.8098e-04,-0.8348
COX6B2,3.1479e-10,5.8295
FBXL6,8.9371e-07,0.6985
FAM105A,3.0936e-14,-3.0621
CDC6,4.2014e-14,4.1014
RGS5,4.2014e-14,-2.0336
BST2,7.9301e-04,-1.1515
EPB41L1,4.1060e-06,-0.6797
OSM,1.1030e-03,-0.9743
CENPO,8.3894e-14,1.7432
VILL,3.4996e-10,-1.5249
SNRPE,3.0936e-14,1.1536
PLEKHG4,4.1060e-06,1.0346
SERPIND1,7.3266e-10,-4.1230
SLIT3,4.2014e-14,-3.2655
MCL1,1.4524e-10,-1.1150
APOA1BP,2.8252e-10,0.7411
ARMC9,3.1763e-13,-1.5786
TCF4,3.2530e-05,-0.8406
ABRACL,1.2464e-08,0.9639
KB-1980E6.3,6.8145e-04,3.4948
MUC1,6.3219e-13,-3.0400
SRSF12,1.2955e-10,1.8903
CACHD1,4.2797e-07,-1.1125
SH3BP1,4.0519e-13,1.3412
NLRP3,3.1763e-13,-2.0914
MAMSTR,5.9741e-05,0.8901
RGS7,8.2371e-04,-7.5984
TBX15,6.0861e-06,1.0773
GPR25,7.7926e-03,-3.7992
